VVD,122452,9,15.79
CDA,116322,9,15.00
Democraten 66 (D66),97845,7,12.62
SP (Socialistische Partij),85260,6,11.00
PVV (Partij voor de Vrijheid),75356,5,9.72
Partij van de Arbeid (P.v.d.A.),70093,6,9.04
ChristenUnie,47444,4,6.12
Staatkundig Gereformeerde Partij (SGP),46395,3,5.98
GROENLINKS,44277,3,5.71
Partij voor de Dieren,25924,2,3.34
50PLUS,22271,1,2.87
Lokaal Belang Gelderland / 1 Achterhoek,6967,0,0.90
Lokale Partijen Gelderland,6474,0,0.83
Partij voor Mens en Spirit (MenS),2481,0,0.32
PSP'92 Gelderland,2348,0,0.30
Vrede en Recht,1337,0,0.17
Libertarische Partij,1008,0,0.13
Vrijzinnige Partij,706,0,0.09
Gelderse Centrumdemocraten (Gelderse C.D.),456,0,0.06
totaal,775416,55,100
