VVD,965353,89,15.92
CDA,891845,89,14.71
Democraten 66 (D66),755719,67,12.46
PVV (Partij voor de Vrijheid),711176,66,11.73
SP (Socialistische Partij),706440,70,11.65
Partij van de Arbeid (P.v.d.A.),611262,63,10.08
GROENLINKS,324572,30,5.35
ChristenUnie,243209,29,4.01
Partij voor de Dieren,210113,18,3.46
50PLUS,204858,14,3.38
Staatkundig Gereformeerde Partij (SGP),170624,18,2.81
ChristenUnie-SGP,42703,2,0.70
FNP,25027,4,0.41
Ouderenpartij Noord-Holland,19763,1,0.33
Groninger Belang,15869,3,0.26
Lokaal Brabant,15226,1,0.25
Hart voor Holland,13452,0,0.22
Piratenpartij,9885,0,0.16
Volkspartij Limburg,9296,0,0.15
LOKAAL-LIMBURG,8741,1,0.14
LOKAAL OVERIJSSEL,7817,0,0.13
STERK LOKAAL,7057,1,0.12
Nederland Lokaal,7026,0,0.12
Lokaal Belang Gelderland / 1 Achterhoek,6967,0,0.11
Lokale Partijen Gelderland,6474,0,0.11
Verenigde Lokale Partijen Zuid-Holland,6097,0,0.10
Zeeland Lokaal,5815,1,0.10
PARTIJ VOOR ZEELAND (PVZ),5787,1,0.10
Vrouwen Partij (VP),5595,0,0.09
Partij voor het Noorden,5173,1,0.09
Libertarische Partij (LP),4661,0,0.08
Multicultureel Plus Partij (M+),4222,0,0.07
Provincie@Inwonersbelangen,3881,0,0.06
Senioren Belang Noord,3510,0,0.06
JEZUS LEEFT,3444,0,0.06
Partij voor Mens en Spirit (MenS),3309,0,0.05
Seniorenpartij Groningen,2462,0,0.04
Provinciaal Belang Zeeland,2388,0,0.04
PSP'92 Gelderland,2348,0,0.04
Groningen Centraal!,2182,0,0.04
Vrijzinnige Partij,2098,0,0.03
Grunnegers veur Stad en Ommelaand,1498,0,0.02
Vrede en Recht,1337,0,0.02
Verenigde Communistische Partij,1238,0,0.02
Partij voor Leefbaarheid en Democratie,1218,0,0.02
Libertarische Partij,1008,0,0.02
Friese Koers,1001,0,0.02
OPA,982,0,0.02
PLATFORM VRIJE POLITIEK,836,0,0.01
StemNL,648,0,0.01
Gelderse Centrumdemocraten (Gelderse C.D.),456,0,0.01
Red het Noorden,405,0,0.01
Verenigd Links-Feriene Lofts,347,0,0.01
Vrij Mandaat,334,0,0.01
Totaal,6064754,569,100
