VVD,86469,9,17.45
Democraten 66 (D66),86365,9,17.43
CDA,60155,6,12.14
Partij van de Arbeid (P.v.d.A.),45316,5,9.15
PVV (Partij voor de Vrijheid),44689,4,9.02
SP (Socialistische Partij),43794,4,8.84
GROENLINKS,37574,4,7.58
ChristenUnie,30541,3,6.16
Partij voor de Dieren,20520,2,4.14
Staatkundig Gereformeerde Partij (SGP),19522,2,3.94
50PLUS,14247,1,2.88
Provincie@Inwonersbelangen,3881,0,0.78
JEZUS LEEFT,1117,0,0.23
Libertarische Partij (LP),627,0,0.13
Vrijzinnige Partij,605,0,0.12
totaal,495422,49,100
