VVD,212470,10,17.62
PVV (Partij voor de Vrijheid),172178,8,14.28
Democraten 66 (D66),155252,7,12.87
CDA,146488,7,12.15
Partij van de Arbeid (P.v.d.A.),120203,5,9.97
SP (Socialistische Partij),112832,5,9.36
Staatkundig Gereformeerde Partij (SGP),59753,3,4.96
ChristenUnie,57899,3,4.80
GROENLINKS,57296,3,4.75
Partij voor de Dieren,49150,2,4.08
50PLUS,45006,2,3.73
Nederland Lokaal,7026,0,0.58
Verenigde Lokale Partijen Zuid-Holland,6097,0,0.51
Libertarische Partij (LP),2143,0,0.18
JEZUS LEEFT,1331,0,0.11
Vrijzinnige Partij,787,0,0.07
totaal,1205911,55,100
